,hid_dim,final_dim,num_layers,num_epochs,lr,test_loss,preds
17,50,20,5,50,1e-05,6.361358489990235,"[81.63032684326171, 81.05083516438802, 81.46037623087565, 81.34408950805664, 81.06586329142253, 80.89096094767253, 81.93759053548177, 81.49813817342122, 81.63770217895508, 81.71659952799479]"
18,50,20,6,30,1e-06,6.905100860595704,"[79.9944969177246, 79.42030817667643, 79.91577631632487, 79.70052998860677, 79.47896041870118, 79.25734303792318, 80.35431289672852, 79.84252293904622, 80.00006001790365, 80.07599283854167]"
19,50,20,6,30,5e-06,7.064761632283529,"[80.34887237548828, 79.77980575561523, 80.19807306925456, 80.06895573933919, 79.81231231689453, 79.6235829671224, 80.66812896728516, 80.21737136840821, 80.36097539265951, 80.44535319010417]"
20,50,20,6,30,1e-05,8.594326197306318,"[79.34996693929037, 78.77526550292968, 79.18644739786784, 79.06397832234701, 78.7974235534668, 78.632874806722, 79.67833073933919, 79.22356618245443, 79.36594212849936, 79.43672154744466]"
21,50,20,6,40,1e-06,7.042517115275063,"[79.77207310994466, 79.20333836873372, 79.65499267578124, 79.47494150797526, 79.22984161376954, 79.01570638020833, 80.07400512695312, 79.59002253214518, 79.73299357096354, 79.81639963785807]"
22,50,20,6,40,5e-06,6.547295506795248,"[80.9519785563151, 80.3638516743978, 80.83948771158855, 80.64423370361328, 80.40591379801432, 80.18881022135416, 81.28588358561198, 80.77394129435221, 80.92603505452475, 81.00427474975587]"
23,50,20,6,40,1e-05,7.3673318735758455,"[80.76594746907553, 80.18719685872396, 80.63803049723307, 80.47291844685873, 80.23024113972981, 80.02602055867513, 81.09964090983073, 80.6196802775065, 80.7674461364746, 80.85283228556315]"
24,50,20,6,50,1e-06,7.206493988037111,"[79.62153778076171, 79.03120803833008, 79.56007130940755, 79.30366338094076, 79.11414998372396, 78.86432189941407, 80.00510965983072, 79.42950922648112, 79.59619318644205, 79.68281504313151]"
25,50,20,6,50,5e-06,6.387766265869141,"[80.89538955688477, 80.31207784016927, 80.81153284708658, 80.59303716023763, 80.38378168741862, 80.14557571411133, 81.26369730631511, 80.73215510050456, 80.89152170817057, 80.98153584798177]"
26,50,20,6,50,1e-05,7.5444885508219395,"[80.30346323649088, 79.72412948608398, 80.19190241495768, 80.00701039632162, 79.77314707438151, 79.56181767781575, 80.65463536580404, 80.15216903686523, 80.30332514444987, 80.38305231730143]"
27,50,30,4,30,1e-06,7.627631403605144,"[80.55842641194661, 80.00142288208008, 80.24912796020507, 80.30460077921549, 79.91973826090495, 79.85278854370117, 80.75880406697591, 80.48515803019205, 80.58612416585287, 80.63966496785481]"
28,50,30,4,30,5e-06,10.712135543823246,"[76.80102462768555, 76.25560582478842, 76.61087417602539, 76.53686879475912, 76.25470479329427, 76.11538365681966, 77.07832870483398, 76.69386240641276, 76.81978454589844, 76.8895492553711]"
29,50,30,4,30,1e-05,16.05414237976074,"[73.19450148666898, 72.67652739609281, 73.01305363103748, 72.94359867498278, 72.66916630193592, 72.53757221624255, 73.45436095322172, 73.09057107691963, 73.20837528631091, 73.2715703241527]"
30,50,30,4,40,1e-06,7.9629173278808585,"[79.44021377563476, 78.87416025797526, 79.1613878885905, 79.19497044881184, 78.86434326171874, 78.79487533569336, 79.76644872029622, 79.42739486694336, 79.55459518432617, 79.6146624247233]"
31,50,30,4,40,5e-06,7.781875279744465,"[80.34707082112631, 79.7636126200358, 80.2544776916504, 80.03507995605469, 79.81429773966471, 79.58186569213868, 80.67310206095378, 80.15324147542317, 80.30691858927409, 80.39860356648764]"
32,50,30,4,40,1e-05,18.846904907226563,"[71.37783106590311, 70.878586884588, 71.25470967714985, 71.1200305186212, 70.8828827423354, 70.70162053530414, 71.604940593491, 71.2216372691095, 71.33732940778137, 71.41166158144672]"
33,50,30,4,50,1e-06,8.014705861409503,"[79.22675755818685, 78.70218048095703, 79.04392166137696, 78.99023208618163, 78.6818130493164, 78.54155731201172, 79.43451843261718, 79.1480702718099, 79.25393346150716, 79.34242502848308]"
34,50,30,4,50,5e-06,7.431747156778972,"[80.33771692911783, 79.75986404418946, 80.19790217081706, 80.04384536743164, 79.78592274983724, 79.59428227742514, 80.66075642903645, 80.18650690714519, 80.3304837544759, 80.40360158284506]"
35,50,30,4,50,1e-05,,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
36,50,30,5,30,1e-06,7.019452819824219,"[79.92860590616861, 79.36241505940755, 79.79500732421874, 79.6462303161621, 79.39678115844727, 79.20006891886393, 80.24104588826498, 79.78911768595377, 79.93209508260091, 80.01435674031576]"
37,50,30,5,30,5e-06,8.309941940307619,"[79.12818806966146, 78.55065561930338, 78.97694396972656, 78.84290364583333, 78.59530614217122, 78.42182591756185, 79.48990859985352, 79.01016947428386, 79.16323877970378, 79.23591232299805]"
38,50,30,5,30,1e-05,9.675848185221355,"[77.48038024902344, 76.92490946451822, 77.35688349405925, 77.2002197265625, 76.96817474365234, 76.7737325032552, 77.8036984761556, 77.34275690714519, 77.48620783487955, 77.56806844075521]"
