,hid_dim,final_dim,num_layers,num_epochs,lr,test_loss,preds
11,50.0,10.0,2.0,40.0,1e-06,14.301140594482423,"[72.41993713378906, 72.04730987548828, 71.68865966796875, 72.35237884521484, 71.61152648925781, 71.89098358154297, 72.12787628173828, 72.58470153808594, 72.50201416015625, 72.51329040527344]"
12,50.0,10.0,2.0,40.0,5e-06,86.29021682739258,"[0.18479189276695251, 0.18479189276695251, 0.18479189276695251, 0.18479189276695251, 0.18479189276695251, 0.18479189276695251, 0.18479189276695251, 0.18479189276695251, 0.18479189276695251, 0.18479189276695251]"
13,50.0,10.0,2.0,40.0,1e-05,86.58169784545899,"[-0.10669039189815521, -0.10669039189815521, -0.10669039189815521, -0.10669039189815521, -0.10669039189815521, -0.10669039189815521, -0.10669039189815521, -0.10669039189815521, -0.10669039189815521, -0.10669039189815521]"
14,50.0,10.0,2.0,40.0,5e-05,85.96856918334962,"[0.5064418315887451, 0.5064418315887451, 0.5064418315887451, 0.5064418315887451, 0.5064418315887451, 0.5064418315887451, 0.5064418315887451, 0.5064418315887451, 0.5064418315887451, 0.5064418315887451]"
15,50.0,10.0,2.0,50.0,5e-07,14.494068145751953,"[101.56227111816406, 100.9991455078125, 99.01805877685547, 101.59680938720703, 99.40982818603516, 101.053466796875, 100.31990051269531, 102.25830078125, 101.84791564941406, 101.62506866455078]"
16,50.0,10.0,2.0,50.0,1e-06,86.44000473022462,"[0.0350009948015213, 0.0350009948015213, 0.0350009948015213, 0.0350009948015213, 0.0350009948015213, 0.0350009948015213, 0.0350009948015213, 0.0350009948015213, 0.0350009948015213, 0.0350009948015213]"
17,50.0,10.0,2.0,50.0,5e-06,86.33891525268555,"[0.13608986139297485, 0.13608986139297485, 0.13608986139297485, 0.13608986139297485, 0.13608986139297485, 0.13608986139297485, 0.13608986139297485, 0.13608986139297485, 0.13608986139297485, 0.13608986139297485]"
18,50.0,10.0,2.0,50.0,1e-05,86.12308731079102,"[0.35191842913627625, 0.35191842913627625, 0.35191842913627625, 0.35191842913627625, 0.35191842913627625, 0.35191842913627625, 0.35191842913627625, 0.35191842913627625, 0.35191842913627625, 0.35191842913627625]"
19,50.0,10.0,2.0,50.0,5e-05,86.22598495483399,"[0.24902530014514923, 0.24902530014514923, 0.24902530014514923, 0.24902530014514923, 0.24902530014514923, 0.24902530014514923, 0.24902530014514923, 0.24902530014514923, 0.24902530014514923, 0.24902530014514923]"
20,50.0,10.0,2.0,60.0,5e-07,86.44970932006837,"[0.025296270847320557, 0.025296270847320557, 0.025296270847320557, 0.025296270847320557, 0.025296270847320557, 0.025296270847320557, 0.025296270847320557, 0.025296270847320557, 0.025296270847320557, 0.025296270847320557]"
21,50.0,10.0,2.0,60.0,1e-06,86.62850418090821,"[-0.15349575877189636, -0.15349575877189636, -0.15349575877189636, -0.15349575877189636, -0.15349575877189636, -0.15349575877189636, -0.15349575877189636, -0.15349575877189636, -0.15349575877189636, -0.15349575877189636]"
22,50.0,10.0,2.0,60.0,5e-06,86.3957618713379,"[0.07924912869930267, 0.07924912869930267, 0.07924912869930267, 0.07924912869930267, 0.07924912869930267, 0.07924912869930267, 0.07924912869930267, 0.07924912869930267, 0.07924912869930267, 0.07924912869930267]"
23,50.0,10.0,2.0,60.0,1e-05,86.44800033569337,"[0.027007538825273514, 0.027007538825273514, 0.027007538825273514, 0.027007538825273514, 0.027007538825273514, 0.027007538825273514, 0.027007538825273514, 0.027007538825273514, 0.027007538825273514, 0.027007538825273514]"
24,50.0,10.0,2.0,60.0,5e-05,85.85956039428712,"[0.6154459714889526, 0.6154459714889526, 0.6154459714889526, 0.6154459714889526, 0.6154459714889526, 0.6154459714889526, 0.6154459714889526, 0.6154459714889526, 0.6154459714889526, 0.6154459714889526]"
25,50.0,10.0,3.0,20.0,5e-07,13.350055694580078,"[73.20250701904297, 72.4732437133789, 73.30845642089844, 72.78246307373047, 72.72473907470703, 72.55857849121094, 74.23454284667969, 73.14187622070312, 73.41909790039062, 73.40402221679688]"
26,50.0,10.0,3.0,20.0,1e-06,10.310006713867187,"[96.95309448242188, 96.0909194946289, 97.50482177734375, 96.38055419921875, 96.65174865722656, 95.90006256103516, 98.04509735107422, 96.45370483398438, 96.8648681640625, 97.00527954101562]"
